order_id,customer_id,restaurant_id,partner_id,order_date,total_amount,payment_method,status
1001,130,274,157,2026-04-15,1612.47,UPI,Delivered
1002,369,146,104,2026-04-15,1829.41,UPI,Delivered
1003,373,116,15,2026-04-15,947.73,UPI,Delivered
1004,38,175,239,2026-04-15,1013.42,UPI,Delivered
1005,287,115,222,2026-04-15,697.15,UPI,Delivered
1006,307,45,295,2026-04-15,1784.98,UPI,Delivered
1007,339,204,52,2026-04-15,387.84,UPI,Delivered
1008,433,181,180,2026-04-15,913.22,UPI,Delivered
1009,250,106,111,2026-04-15,1681.13,UPI,Delivered
1010,73,106,60,2026-04-15,1523.8,UPI,Delivered
1011,8,294,95,2026-04-15,1076.59,UPI,Delivered
1012,176,129,160,2026-04-15,360.96,UPI,Delivered
1013,108,281,73,2026-04-15,1660.12,UPI,Delivered
1014,130,123,50,2026-04-15,1224.79,UPI,Delivered
1015,154,268,214,2026-04-15,779.49,UPI,Delivered
1016,297,285,183,2026-04-15,479.23,UPI,Delivered
1017,236,259,117,2026-04-15,1354.18,UPI,Delivered
1018,107,284,169,2026-04-15,431.0,UPI,Delivered
1019,279,71,203,2026-04-15,1952.28,UPI,Delivered
1020,428,145,19,2026-04-15,252.75,UPI,Delivered
1021,426,18,209,2026-04-15,1905.71,UPI,Delivered
1022,188,22,257,2026-04-15,1030.32,UPI,Delivered
1023,372,234,259,2026-04-15,732.7,UPI,Delivered
1024,205,207,170,2026-04-15,655.92,UPI,Delivered
1025,41,11,77,2026-04-15,768.69,UPI,Delivered
1026,336,185,28,2026-04-15,309.02,UPI,Delivered
1027,197,165,111,2026-04-15,450.04,UPI,Delivered
1028,466,120,146,2026-04-15,813.22,UPI,Delivered
1029,116,109,136,2026-04-15,928.04,UPI,Delivered
1030,154,241,208,2026-04-15,1901.26,UPI,Delivered
1031,399,239,136,2026-04-15,230.43,UPI,Delivered
1032,230,233,271,2026-04-15,966.83,UPI,Delivered
1033,408,112,188,2026-04-15,1345.7,UPI,Delivered
1034,88,90,290,2026-04-15,1656.43,UPI,Delivered
1035,283,182,267,2026-04-15,241.44,UPI,Delivered
1036,111,57,192,2026-04-15,1508.63,UPI,Delivered
1037,334,230,34,2026-04-15,785.58,UPI,Delivered
1038,50,47,266,2026-04-15,1861.58,UPI,Delivered
1039,118,47,171,2026-04-15,432.22,UPI,Delivered
1040,180,121,137,2026-04-15,641.32,UPI,Delivered
1041,201,298,19,2026-04-15,225.96,UPI,Delivered
1042,391,144,256,2026-04-15,409.37,UPI,Delivered
1043,344,211,144,2026-04-15,374.19,UPI,Delivered
1044,32,177,250,2026-04-15,861.27,UPI,Delivered
1045,308,136,103,2026-04-15,971.29,UPI,Delivered
1046,196,87,291,2026-04-15,1552.04,UPI,Delivered
1047,333,189,36,2026-04-15,1212.11,UPI,Delivered
1048,228,145,241,2026-04-15,1806.39,UPI,Delivered
1049,476,189,104,2026-04-15,794.05,UPI,Delivered
1050,424,189,88,2026-04-15,1791.34,UPI,Delivered
1051,186,129,280,2026-04-15,1498.09,UPI,Delivered
1052,114,82,171,2026-04-15,1396.93,UPI,Delivered
1053,2,64,72,2026-04-15,1775.94,UPI,Delivered
1054,68,287,260,2026-04-15,289.85,UPI,Delivered
1055,388,72,67,2026-04-15,811.42,UPI,Delivered
1056,238,50,9,2026-04-15,900.01,UPI,Delivered
1057,195,45,69,2026-04-15,353.58,UPI,Delivered
1058,134,152,78,2026-04-15,1235.01,UPI,Delivered
1059,374,171,52,2026-04-15,1241.04,UPI,Delivered
1060,44,261,7,2026-04-15,1843.33,UPI,Delivered
1061,99,269,185,2026-04-15,1888.92,UPI,Delivered
1062,225,59,97,2026-04-15,230.9,UPI,Delivered
1063,416,13,285,2026-04-15,1696.04,UPI,Delivered
1064,54,157,11,2026-04-15,950.17,UPI,Delivered
1065,335,282,89,2026-04-15,1670.25,UPI,Delivered
1066,307,134,91,2026-04-15,1675.16,UPI,Delivered
1067,12,289,97,2026-04-15,538.46,UPI,Delivered
1068,374,62,185,2026-04-15,286.57,UPI,Delivered
1069,364,159,57,2026-04-15,1274.32,UPI,Delivered
1070,111,1,26,2026-04-15,1838.15,UPI,Delivered
