partner_id,partner_name,vehicle_type,city,availability
1,Partner_1,Scooter,Hyderabad,Available
2,Partner_2,Scooter,Mumbai,Available
3,Partner_3,Bike,Pune,Available
4,Partner_4,Scooter,Bengaluru,Available
5,Partner_5,Scooter,Hyderabad,Available
6,Partner_6,Bike,Mumbai,Available
7,Partner_7,Bike,Delhi,Available
8,Partner_8,Scooter,Mumbai,Available
9,Partner_9,Bike,Delhi,Available
10,Partner_10,Scooter,Pune,Available
11,Partner_11,Bike,Mumbai,Available
12,Partner_12,Scooter,Bengaluru,Available
13,Partner_13,Bike,Hyderabad,Available
14,Partner_14,Scooter,Pune,Available
15,Partner_15,Bike,Hyderabad,Available
16,Partner_16,Scooter,Delhi,Available
17,Partner_17,Scooter,Hyderabad,Available
18,Partner_18,Bike,Mumbai,Available
19,Partner_19,Scooter,Delhi,Available
20,Partner_20,Bike,Mumbai,Available
21,Partner_21,Scooter,Bengaluru,Available
22,Partner_22,Bike,Hyderabad,Available
23,Partner_23,Bike,Hyderabad,Available
24,Partner_24,Scooter,Pune,Available
25,Partner_25,Bike,Pune,Available
26,Partner_26,Bike,Hyderabad,Available
27,Partner_27,Bike,Hyderabad,Available
28,Partner_28,Bike,Delhi,Available
29,Partner_29,Scooter,Pune,Available
30,Partner_30,Bike,Delhi,Available
31,Partner_31,Scooter,Delhi,Available
32,Partner_32,Scooter,Pune,Available
33,Partner_33,Bike,Mumbai,Available
34,Partner_34,Scooter,Mumbai,Available
35,Partner_35,Bike,Delhi,Available
36,Partner_36,Bike,Mumbai,Available
37,Partner_37,Bike,Mumbai,Available
38,Partner_38,Bike,Mumbai,Available
39,Partner_39,Bike,Pune,Available
40,Partner_40,Scooter,Delhi,Available
41,Partner_41,Bike,Bengaluru,Available
42,Partner_42,Scooter,Delhi,Available
43,Partner_43,Scooter,Mumbai,Available
44,Partner_44,Bike,Hyderabad,Available
45,Partner_45,Bike,Pune,Available
46,Partner_46,Scooter,Hyderabad,Available
47,Partner_47,Scooter,Hyderabad,Available
48,Partner_48,Scooter,Delhi,Available
49,Partner_49,Bike,Bengaluru,Available
50,Partner_50,Bike,Mumbai,Available
51,Partner_51,Scooter,Hyderabad,Available
52,Partner_52,Scooter,Delhi,Available
53,Partner_53,Bike,Bengaluru,Available
54,Partner_54,Bike,Hyderabad,Available
55,Partner_55,Scooter,Hyderabad,Available
56,Partner_56,Scooter,Hyderabad,Available
57,Partner_57,Scooter,Hyderabad,Available
58,Partner_58,Scooter,Pune,Available
59,Partner_59,Scooter,Hyderabad,Available
60,Partner_60,Scooter,Hyderabad,Available
61,Partner_61,Scooter,Hyderabad,Available
62,Partner_62,Scooter,Delhi,Available
63,Partner_63,Scooter,Mumbai,Available
64,Partner_64,Bike,Bengaluru,Available
65,Partner_65,Scooter,Delhi,Available
66,Partner_66,Bike,Hyderabad,Available
67,Partner_67,Scooter,Pune,Available
68,Partner_68,Scooter,Delhi,Available
