order_id,customer_id,restaurant_id,partner_id,order_date,total_amount,payment_method,status
1,19,100,231,2026-03-17,1078.92,Card,Cancelled
2,432,140,93,2026-01-23,1779.44,UPI,Delivered
3,34,282,118,2026-03-27,1002.19,Card,Cancelled
4,456,53,199,2026-02-12,296.83,Card,Cancelled
5,239,170,260,2026-02-22,372.85,Card,Cancelled
6,380,245,259,2026-03-20,468.12,UPI,Cancelled
7,313,100,116,2026-01-18,1616.74,UPI,Cancelled
8,450,80,53,2026-03-25,1458.49,Card,Delivered
9,78,192,287,2026-02-28,778.96,Card,Cancelled
10,199,250,229,2026-01-02,743.02,Cash,Cancelled
11,298,199,161,2026-03-24,1728.58,Card,Delivered
12,251,93,229,2026-01-13,476.0,UPI,Delivered
13,164,162,254,2026-03-10,1912.68,Cash,Cancelled
14,164,288,237,2026-03-16,781.91,Cash,Cancelled
15,465,112,86,2026-03-10,633.84,UPI,Delivered
16,400,165,32,2026-01-07,790.91,UPI,Cancelled
17,186,210,108,2026-02-16,1616.0,Card,Delivered
18,204,197,90,2026-02-10,215.09,Cash,Cancelled
19,402,114,120,2026-03-19,318.59,Cash,Cancelled
20,105,151,50,2026-02-19,981.13,Card,Delivered
21,488,79,58,2026-02-22,1160.51,Cash,Delivered
22,74,193,224,2026-02-13,785.98,Cash,Cancelled
23,100,82,85,2026-01-27,1946.06,UPI,Delivered
24,227,300,268,2026-01-16,433.79,UPI,Cancelled
25,407,163,71,2026-03-19,237.31,UPI,Delivered
26,355,255,251,2026-01-31,261.67,Cash,Delivered
27,273,241,290,2026-01-18,1992.46,UPI,Cancelled
28,71,144,179,2026-04-01,1969.72,Card,Cancelled
29,271,237,101,2026-01-04,1494.36,UPI,Delivered
30,156,22,137,2026-03-31,1675.43,UPI,Delivered
31,417,57,205,2026-01-14,797.34,Card,Cancelled
32,144,74,221,2026-03-27,868.63,Card,Cancelled
33,224,189,282,2026-02-22,1861.16,UPI,Delivered
34,122,123,11,2026-01-19,633.86,Card,Cancelled
35,226,291,49,2026-03-20,297.54,Cash,Delivered
36,221,143,213,2026-01-06,439.03,UPI,Cancelled
37,399,176,300,2026-02-23,1545.48,Cash,Cancelled
